Frame,Danger_Sent,Steering_Sent,FPGA_Brake_Recv,FPGA_Throttle_Recv,FPGA_Steer_Recv
1,17,205,17,66,205
2,25,251,25,50,251
3,13,144,13,74,144
4,12,143,12,76,143
5,12,143,12,76,143
6,9,154,9,82,154
7,12,143,12,76,143
8,15,172,15,70,172
9,16,193,16,68,193
10,24,237,24,52,237
11,30,242,30,40,242
12,23,188,23,54,188
13,30,202,30,40,202
14,41,224,41,18,224
15,13,142,13,74,142
16,13,143,13,74,143
17,13,143,13,74,143
18,12,176,12,76,176
19,15,190,15,70,190
20,24,221,24,52,221
21,20,181,20,60,181
22,29,194,29,42,194
23,38,218,38,24,218
24,49,241,49,2,241
25,37,245,37,26,245
26,10,137,10,80,137
27,10,135,10,80,135
28,10,135,10,80,135
29,10,134,10,80,134
30,10,133,10,80,133
31,10,133,10,80,133
32,12,133,12,76,133
33,13,133,13,74,133
34,11,134,11,78,134
35,11,134,11,78,134
36,11,134,11,78,134
37,74,242,74,0,242
38,106,232,106,0,232
39,113,226,113,0,226
40,97,221,97,0,221
